PaleoDB_taxon_no	taxon_name	phylum	class	order	family	fad_int	fad_age	lad_int	lad_age	size_ref	range_ref	log10_volume	log10_max_length
35826	Analectis	Chordata	Actinopterygii	Lampridiformes		Rupelian	33.9	Rupelian	28.1	58	24	3.20843142840532	1.69897000433602
35827	Ateleopus	Chordata	Actinopterygii	Lampridiformes		Langhian	15.97	Holocene	0	100	24	6.87959191858791	2.97772360528885
35828	Bajaichthys	Chordata	Actinopterygii	Lampridiformes		Lutetian	47.8	Bartonian	38	58	24	2.93021347414645	1.60205999132796
35832	Lampris	Chordata	Actinopterygii	Lampridiformes		Tortonian	11.62	Holocene	0	100	24	8.40605789889423	3.30102999566398
35834	Protolophotus	Chordata	Actinopterygii	Lampridiformes		Rupelian	33.9	Holocene	0	58	24	5.86193527336514	2.6232492903979
35835	Turkmene	Chordata	Actinopterygii	Lampridiformes		Thanetian	59.2	Thanetian	56	58	24	4.19148916199858	2.04139268515822
35836	Velifer	Chordata	Actinopterygii	Lampridiformes		Lutetian	47.8	Bartonian	38	100	24	5.80110313377057	2.60205999132796
35638	Asineops	Chordata	Actinopterygii			Thanetian	59.2	Bartonian	38	58	24	4.39977412211435	2.11394335230684
35639	Blochius	Chordata	Actinopterygii			Lutetian	47.8	Bartonian	38	58	24	6.30664170854372	2.77815125038364
35643	Homorhynchus	Chordata	Actinopterygii			Lutetian	47.8	Rupelian	28.1	58	24	6.68081557681588	2.90848501887865
35645	Palaeorhynchus	Chordata	Actinopterygii			Lutetian	47.8	Burdigalian	15.97	58	24	6.30664170854372	2.77815125038364
35646	Pharmacichthys	Chordata	Actinopterygii			Cenomanian	100.5	Cenomanian	93.3	58	24	2.93021347414645	1.60205999132796
35128	Acipenser	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Campanian	83.6	Holocene	0	100	24	8.88638429348909	3.78532983501077
35129	Huso	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Zanclean	5.333	Holocene	0	100	24	9.29108388580843	3.7481880270062
31393	Compsaster	Echinodermata	Asteroidea	Platyasterida	Compsasteridae	Emsian	407.6	Serpukhovian	323.2	53	24	4.17595565794913	1.54032947479087
31381	Hystrigaster	Echinodermata	Asteroidea	Hemizonida	Helianthasteridae	Emsian	407.6	Emsian	393.3	53	24	4.50421282352391	1.66124460895933
31385	Palaeosolaster	Echinodermata	Asteroidea	Hemizonida	Palasterinidae	Emsian	407.6	Emsian	393.3	53	24	5.86800415132674	2.16360382201815
31387	Taeniactis	Echinodermata	Asteroidea	Hemizonida	Taeniactinidae	Rhuddanian	443.4	Telychian	433.4	53	24	3.33235300659476	1.20808287975136
31391	Calliasterella	Echinodermata	Asteroidea	Platyasterida	Calliasterellidae	Moscovian	315.2	Kasimovian	303.7	53	24	6.1246978244267	2.25815819334079
31346	Schuchertia	Echinodermata	Asteroidea	Platyasterida	Urasterellidae	Sandbian	458.4	Homerian	427.4	53	24	3.41718968126663	1.26083431217232
31404	Urasterella	Echinodermata	Asteroidea	Platyasterida	Urasterellidae	Darriwilian	467.3	Moscovian	307	53	24	4.72860767307642	1.74390155048518
31344	Palasteriscus	Echinodermata	Asteroidea	Platyasterida	Palasteriscidae	Emsian	407.6	Emsian	393.3	53	24	4.89873597411734	1.80656914316421
31345	Platanaster	Echinodermata	Asteroidea	Platyasterida	Palasteriscidae	Sandbian	458.4	Sandbian	453	53	24	4.26115599276724	1.57171343528322
31352	Coccaster	Echinodermata	Asteroidea	Pustulosida	Hudsonasteridae	Sheinwoodian	433.4	Ludfordian	423	53	24	2.27651005768935	0.840659387775561
31356	Girvanaster	Echinodermata	Asteroidea	Pustulosida	Hudsonasteridae	Katian	453	Katian	445.2	53	24	1.96410444486603	0.725583250676254
31357	Hudsonaster	Echinodermata	Asteroidea	Pustulosida	Hudsonasteridae	Floian	477.7	Katian	445.2	53	24	3.87140672773319	1.3801846191111
31361	Lepidaster	Echinodermata	Asteroidea	Pustulosida	Lepidasteridae	Sheinwoodian	433.4	Homerian	427.4	53	24	3.93365072170164	1.45107526513868
31364	Monaster	Echinodermata	Asteroidea	Pustulosida	Monasteridae	Artinskian	290.1	Artinskian	279.3	53	24	4.04445176476402	1.49188937186026
31365	Neopalaeaster	Echinodermata	Asteroidea	Pustulosida	Neopalaeasteridae	Visean	346.7	Visean	330.9	53	24	3.6210971819638	1.33594463843612
31367	Palaeostella	Echinodermata	Asteroidea	Pustulosida	Xenasteridae	Emsian	407.6	Emsian	393.3	53	24	3.57298303780503	1.31822155785638
31349	Arisaigaster	Echinodermata	Asteroidea	Pustulosida		Katian	453	Ludfordian	423	53	24	2.13452010019809	0.788356691715386
31353	Devonaster	Echinodermata	Asteroidea	Pustulosida		Emsian	407.6	Frasnian	372.2	53	24	4.35664452613712	1.6068871040857
31368	Petraster	Echinodermata	Asteroidea	Pustulosida		Floian	477.7	Katian	445.2	53	24	2.95590790090174	1.09091890982421
31529	Drepanaster	Echinodermata	Ophiuroidea	Oegophiurida	Protasteridae	Katian	453	Tournaisian	346.7	53	24	4.26018680979457	1.57135643198987
31532	Furcaster	Echinodermata	Ophiuroidea	Oegophiurida	Protasteridae	Katian	453	Tournaisian	346.7	53	24	4.36406624912025	1.60962093208515
31538	Mastigophiura	Echinodermata	Ophiuroidea	Oegophiurida	Protasteridae	Emsian	407.6	Emsian	393.3	53	24	5.32477987321558	1.96350449941429
31543	Taeniaster	Echinodermata	Ophiuroidea	Oegophiurida	Protasteridae	Sandbian	458.4	Emsian	393.3	53	24	4.39819214146977	1.62219137162098
31539	Miospondylus	Echinodermata	Ophiuroidea	Oegophiurida	Lapworthuridae	Emsian	407.6	Emsian	393.3	53	24	4.44224871555021	1.63841982639549
31528	Crepidosoma	Echinodermata	Ophiuroidea	Oegophiurida	Encrinasteridae	Sheinwoodian	433.4	Pragian	407.6	53	24	2.72565748300918	1.00610504102999
31530	Encrinaster	Echinodermata	Ophiuroidea	Oegophiurida	Encrinasteridae	Katian	453	Tournaisian	346.7	53	24	4.50345973810078	1.66096720625643
